Country,Year,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Consumer Trust in AI (%),Market Share of AI Companies (%)
Australia,2022.1333333333334,56.082,48.772000000000006,18.824,49.70133333333333,59.477333333333334,63.576,23.687333333333335
Canada,2022.1875,52.19,49.110625,30.993125,38.753125,55.197500000000005,62.15,28.276875
China,2022.0,52.88904761904762,52.82761904761905,29.085238095238093,42.59619047619047,54.506666666666675,60.32,27.064761904761905
France,2022.2083333333333,56.51833333333334,47.43083333333333,26.484166666666667,39.55416666666667,52.76208333333333,58.445,27.189166666666665
Germany,2021.4705882352941,51.46,44.78588235294118,28.10411764705882,40.580588235294115,49.62705882352941,64.95235294117647,30.458235294117646
India,2023.0416666666667,51.81458333333333,44.99625,25.23125,40.07625,54.20166666666666,59.91625,28.335416666666664
Japan,2022.7727272727273,54.20954545454545,40.249545454545455,25.509545454545457,34.608636363636364,42.38318181818182,60.99636363636364,27.153636363636362
South Korea,2022.4,50.5635,48.6915,25.5445,34.251999999999995,59.471500000000006,60.023,27.3305
Uk,2022.1,64.692,39.092,27.134500000000003,36.122,58.268499999999996,50.1375,25.1415
Usa,2022.4761904761904,52.08095238095238,46.04857142857143,20.708571428571428,43.520476190476195,57.25952380952381,56.203809523809525,20.981428571428573
